Age,Individual percent
18,0.0175
19,0.0175
20,0.016
21,0.016
22,0.016
23,0.016
24,0.016
25,0.016
26,0.016
27,0.016
28,0.016
29,0.016
30,0.016
31,0.016
32,0.016
33,0.016
34,0.016
35,0.016
36,0.016
37,0.016
38,0.016
39,0.016
40,0.013
41,0.013
42,0.013
43,0.013
44,0.013
45,0.013
46,0.013
47,0.013
48,0.013
49,0.013
50,0.013
51,0.013
52,0.013
53,0.013
54,0.013
55,0.013
56,0.013
57,0.013
58,0.013
59,0.013
60,0.0055
61,0.0055
62,0.0055
63,0.0055
64,0.0055
65,0.0055
66,0.0055
67,0.0055
68,0.0055
69,0.0055
70,0.0055
71,0.0055
72,0.0055
73,0.0055
74,0.0055
75,0.0055
76,0.0055
77,0.0055
78,0.0055
79,0.0055
80,0.001
81,0.001
82,0.001
83,0.001
84,0.001
85,0.001
86,0.001
87,0.001
88,0.001
89,0.001
90,0.001
91,0.001
92,0.001
93,0.001
94,0.001
95,0.001
96,0.001
97,0.001
98,0.001
99,0.001
100,5.00E-05
101,5.00E-05
102,5.00E-05
103,5.00E-05
104,5.00E-05
105,5.00E-05
106,5.00E-05
107,5.00E-05
108,5.00E-05
109,5.00E-05
110,5.00E-05
111,5.00E-05
112,5.00E-05
113,5.00E-05
114,5.00E-05
115,5.00E-05
