Gender, Height [cm], Individual percent
Female, 119, 1e-10
Female, 120, 1e-10
Female, 121, 3e-10
Female, 122, 8e-10
Female, 123, 1.8e-09
Female, 124, 4.1e-09
Female, 125, 9.1e-09
Female, 126, 1.99e-08
Female, 127, 4.24e-08
Female, 128, 8.87e-08
Female, 129, 1.818e-07
Female, 130, 3.655e-07
Female, 131, 7.203e-07
Female, 132, 1.3917e-06
Female, 133, 2.6361e-06
Female, 134, 4.8951e-06
Female, 135, 8.9113e-06
Female, 136, 1.5904e-05
Female, 137, 2.78263e-05
Female, 138, 4.77299e-05
Female, 139, 8.02621e-05
Female, 140, 0.0001323166
Female, 141, 0.0002138471
Female, 142, 0.0003388262
Female, 143, 0.0005263025
Female, 144, 0.0008014541
Female, 145, 0.0011964831
Female, 146, 0.0017511336
Female, 147, 0.0025125616
Female, 148, 0.0035342635
Female, 149, 0.0048737797
Female, 150, 0.0065889712
Female, 151, 0.0087328115
Female, 152, 0.01134685
Female, 153, 0.0144537753
Female, 154, 0.0180497852
Female, 155, 0.0220977234
Female, 156, 0.0265220924
Female, 157, 0.0312070553
Female, 158, 0.0359983464
Female, 159, 0.0407096218
Female, 160, 0.0451332222
Female, 161, 0.049054671
Female, 162, 0.0522695968
Female, 163, 0.054601263
Female, 164, 0.0559166291
Female, 165, 0.0561389171
Female, 166, 0.0552550321
Female, 167, 0.0533168392
Female, 168, 0.0504361247
Female, 169, 0.0467739213
Female, 170, 0.0425256153
Female, 171, 0.0379037507
Female, 172, 0.033120625
Female, 173, 0.0283726314
Female, 174, 0.0238278832
Female, 175, 0.0196180603
Female, 176, 0.0158347577
Female, 177, 0.0125300134
Female, 178, 0.009720227
Female, 179, 0.0073924097
Female, 180, 0.0055116345
Female, 181, 0.0040286501
Female, 182, 0.0028868448
Female, 183, 0.0020280193
Female, 184, 0.0013967075
Female, 185, 0.0009430259
Female, 186, 0.000624204
Female, 187, 0.0004050552
Female, 188, 0.0002576835
Female, 189, 0.0001607103
Female, 190, 9.8262e-05
Female, 191, 5.88996e-05
Female, 192, 3.46118e-05
Female, 193, 1.99398e-05
Female, 194, 1.12616e-05
Female, 195, 6.2354e-06
Female, 196, 3.3847e-06
Female, 197, 1.8012e-06
Female, 198, 9.397e-07
Female, 199, 4.806e-07
Female, 200, 2.41e-07
Female, 201, 1.185e-07
Female, 202, 5.71e-08
Female, 203, 2.7e-08
Female, 204, 1.25e-08
Female, 205, 5.7e-09
Female, 206, 2.5e-09
Female, 207, 1.1e-09
Female, 208, 5e-10
Female, 209, 2e-10
Female, 210, 1e-10
Male, 130, 1e-10
Male, 131, 2e-10
Male, 132, 4e-10
Male, 133, 9e-10
Male, 134, 2e-09
Male, 135, 4.4e-09
Male, 136, 9.2e-09
Male, 137, 1.89e-08
Male, 138, 3.84e-08
Male, 139, 7.66e-08
Male, 140, 1.502e-07
Male, 141, 2.894e-07
Male, 142, 5.482e-07
Male, 143, 1.0206e-06
Male, 144, 1.8676e-06
Male, 145, 3.3587e-06
Male, 146, 5.9368e-06
Male, 147, 1.03135e-05
Male, 148, 1.76092e-05
Male, 149, 2.955e-05
Male, 150, 4.87366e-05
Male, 151, 7.90012e-05
Male, 152, 0.0001258616
Male, 153, 0.0001970761
Male, 154, 0.0003032884
Male, 155, 0.0004587316
Male, 156, 0.0006819344
Male, 157, 0.00099634
Male, 158, 0.0014307166
Male, 159, 0.0020192063
Male, 160, 0.0028008434
Male, 161, 0.00381837
Male, 162, 0.0051162086
Male, 163, 0.0067375116
Male, 164, 0.0087203088
Male, 165, 0.0110929039
Male, 166, 0.0138688257
Male, 167, 0.0170417889
Male, 168, 0.0205812488
Male, 169, 0.024429204
Male, 170, 0.028498891
Male, 171, 0.0326759073
Male, 172, 0.0368220872
Male, 173, 0.0407821578
Male, 174, 0.0443928522
Male, 175, 0.0474938033
Male, 176, 0.0499392368
Male, 177, 0.0516092923
Male, 178, 0.0524197515
Male, 179, 0.0523290756
Male, 180, 0.0513419334
Male, 181, 0.049508803
Male, 182, 0.0469216943
Male, 183, 0.0437064965
Male, 184, 0.0400128381
Male, 185, 0.036002592
Male, 186, 0.0318382532
Male, 187, 0.0276723312
Male, 188, 0.023638685
Male, 189, 0.0198464087
Male, 190, 0.0163765192
Male, 191, 0.013281353
Male, 192, 0.0105862974
Male, 193, 0.0082932911
Male, 194, 0.0063854394
Male, 195, 0.0048320977
Male, 196, 0.0035938644
Male, 197, 0.0026270523
Male, 198, 0.0018873689
Male, 199, 0.0013326801
Male, 200, 0.0009248602
Male, 201, 0.0006308227
Male, 202, 0.0004228824
Male, 203, 0.0002786204
Male, 204, 0.0001804211
Male, 205, 0.0001148267
Male, 206, 7.18256e-05
Male, 207, 4.41567e-05
Male, 208, 2.66806e-05
Male, 209, 1.58444e-05
Male, 210, 9.2477e-06
Male, 211, 5.3049e-06
Male, 212, 2.9909e-06
Male, 213, 1.6573e-06
Male, 214, 9.026e-07
Male, 215, 4.831e-07
Male, 216, 2.542e-07
Male, 217, 1.314e-07
Male, 218, 6.68e-08
Male, 219, 3.34e-08
Male, 220, 1.64e-08
Male, 221, 7.9e-09
Male, 222, 3.7e-09
Male, 223, 1.7e-09
Male, 224, 8e-10
Male, 225, 4e-10
Male, 226, 2e-10
Male, 227, 1e-10
