Income, Individual percent
5k, 89.2
10k, 85.4
15k, 79.9
20k, 74.1
25k, 68.1
30k, 62.4
35k, 56.8
40k, 52.3
45k, 47.3
50k, 43.0
55k, 38.3
60k, 34.9
65k, 31.3
70k, 28.8
75k, 26.2
80k, 23.9
85k, 21.5
90k, 19.8
95k, 18.2
100k, 16.9
105k, 15.0
110k, 14.1
115k, 13.1
120k, 12.4
125k, 11.1
130k, 10.4
135k, 9.7
140k, 9.1
145k, 8.5
150k, 8.1
155k, 7.1
160k, 6.7
165k, 6.3
170k, 6.0
175k, 5.6
180k, 5.3
185k, 4.9
190k, 4.7
195k, 4.4
200k, 4.3
205k, 3.8
210k, 3.6
215k, 3.4
220k, 3.3
225k, 3.1
230k, 2.9
235k, 2.8
240k, 2.7
245k, 2.6
250k, 2.5
255k, 2.3
260k, 2.2
265k, 2.1
270k, 2.0
275k, 1.9
280k, 1.8
285k, 1.8
290k, 1.7
295k, 1.7
300k, 1.6
305k, 1.5
310k, 1.4
315k, 1.4
320k, 1.3
325k, 1.3
330k, 1.2
335k, 1.2
340k, 1.2
345k, 1.2
350k, 1.1
355k, 1.1
360k, 1.0
365k, 1.0
370k, 1.0
375k, 0.98
380k, 0.96
385k, 0.95
390k, 0.94
395k, 0.92
400k, 0.92
405k, 0.87
410k, 0.85
415k, 0.83
420k, 0.82
425k, 0.79
430k, 0.77
435k, 0.76
440k, 0.75
440k, 0.74
445k, 0.74
450k, 0.72
455k, 0.70
460k, 0.69
465k, 0.67
470k, 0.67
475k, 0.66
480k, 0.65
485k, 0.65
490k, 0.63
495k, 0.62
500k, 0.61
505k, 0.57
510k, 0.56
515k, 0.54
520k, 0.53
525k, 0.51
530k, 0.51
535k, 0.5
540k, 0.49
545k, 0.49
550k, 0.48
555k, 0.45
560k, 0.45
565k, 0.44
570k, 0.43
575k, 0.43
580k, 0.43
585k, 0.42
590k, 0.42
595k, 0.41
600k, 0.41
605k, 0.39
610k, 0.39
615k, 0.39
620k, 0.38
625k, 0.38
630k, 0.37
635k, 0.37
640k, 0.37
645k, 0.36
650k, 0.35
655k, 0.35
660k, 0.34
665k, 0.34
670k, 0.34
675k, 0.33
680k, 0.33
685k, 0.32
690k, 0.32
695k, 0.32
700k, 0.32
705k, 0.3
710k, 0.3
715k, 0.3
720k, 0.3
725k, 0.3
730k, 0.3
735k, 0.29
740k, 0.29
745k, 0.29
750k, 0.29
755k, 0.29
760k, 0.28
765k, 0.28
770k, 0.28
775k, 0.28
780k, 0.28
785k, 0.27
790k, 0.27
795k, 0.27
800k, 0.27
805k, 0.25
810k, 0.24
815k, 0.24
820k, 0.24
825k, 0.24
830k, 0.24
835k, 0.23
840k, 0.23
845k, 0.23
850k, 0.23
855k, 0.22
860k, 0.21
865k, 0.21
870k, 0.21
875k, 0.21
880k, 0.21
885k, 0.21
890k, 0.21
895k, 0.21
900k, 0.21
905k, 0.21
910k, 0.21
915k, 0.2
920k, 0.2
925k, 0.2
930k, 0.2
935k, 0.2
940k, 0.2 
945k, 0.2 
950k, 0.2 
955k, 0.2 
960k, 0.2 
965k, 0.2 
970k, 0.2 
975k, 0.2 
980k, 0.2 
985k, 0.19
990k, 0.19
995k, 0.18
1000k, 0.18
1010k, 0.17
1020k, 0.16
1030k, 0.15
1040k, 0.14
1050k, 0.14
1060k, 0.14
1070k, 0.13
1080k, 0.13
1090k, 0.12
1100k, 0.12
1110k, 0.070
1120k, 0.046
1130k, 0.039
1140k, 0.035
1150k, 0.029
1160k, 0.026
1170k, 0.024
1180k, 0.024
1190k, 0.021
1200k, 0.021
1210k, 0.013
1220k, 0.012
1230k, 0.012
1240k, 0.012
1250k, 0.012
1300k, 0.0073
1350k, 0.0063
1400k, 0.0063
1450k, 0.0038
1500k, 0.0020
1550k, 0.0020
1600k, 0.0020
1700k, 0.0020
1800k, 0.0020
1900k, 0.0020
2000k, 0.0001
